Wochentag,Anzahl MA,Menge N.i. O.,Menge i. O. L4,Menge i. O. L5,Dauer Org-Mangel,Dauer Anlagen-Ausfall,Störung aufgrund Vormaterial,Dauer Anlagen-Ausfall intern,Dauer Logistik- Defizite,Sollzeit/ Stück (Min),Takt Gesamt,Zeit_von_min,Zeit_bis_min,Datum,Schicht_n,Schicht_s,Schicht_t,Station/ OP_Freitext,Station/ OP_OP 10,Station/ OP_OP 10 L,Station/ OP_OP 10 RE,Station/ OP_OP 10 Re,Station/ OP_OP 10-,Station/ OP_OP 10-L,Station/ OP_OP 10.,Station/ OP_OP 10.L,Station/ OP_OP 100,Station/ OP_OP 110,Station/ OP_OP 120,Station/ OP_OP 120 1,Station/ OP_OP 120 2,Station/ OP_OP 120.1,Station/ OP_OP 120.2,Station/ OP_OP 130,Station/ OP_OP 130.1,Station/ OP_OP 130.2,Station/ OP_OP 20,Station/ OP_OP 25,Station/ OP_OP 25li,Station/ OP_OP 30,Station/ OP_OP 50,Station/ OP_OP 70,Station/ OP_OP 90,Station/ OP_R 01,Station/ OP_R 02,Station/ OP_R 03,Station/ OP_R 05,Station/ OP_R 06,Station/ OP_R 06 +,Station/ OP_R 07,Station/ OP_R 6,Station/ OP_Reinigung,Station/ OP_STW,is_failure,station_encoded,reason_encoded
0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.9999936125917682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,37,0
0.6000000000000001,0.625,0.0,0.0,0.375,0.0,0.06666666666666667,0.0,0.0,0.0,1.0,0.19999999999999984,0.9130434782608696,0.9456521739130435,0.9999936125917682,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,37,0
0.6000000000000001,0.625,0.0,0.0,0.75,0.0,0.06666666666666667,0.0,0.0,0.0,1.0,0.1333333333333334,0.2608695652173913,0.30434782608695654,0.9999936313231707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,31,0
0.6000000000000001,0.625,0.0,0.0,0.5,0.0,0.0,0.4,0.0,0.0,1.0,0.1999999999999997,0.7391304347826088,0.782608695652174,0.9999936313231707,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,26,7
0.6000000000000001,0.625,0.0,0.0,0.75,0.0,0.0,0.25,0.0,0.0,1.0,0.1333333333333335,0.6956521739130435,0.7391304347826088,0.9999936313231707,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,26,4
0.6000000000000001,0.625,0.0,0.0,0.75,0.0,0.0,0.2,0.0,0.0,1.0,0.1333333333333331,0.6521739130434783,0.6956521739130435,0.9999936313231707,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,37,2
0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999936313231707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,31,0
0.6000000000000001,0.625,0.0,0.0,0.5,0.0,0.0,0.0,0.2,0.0,1.0,0.14999999999999988,0.5760869565217391,0.6086956521739131,0.9999936313231707,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,37,0
0.6000000000000001,0.625,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,1.0,0.0,0.34782608695652173,0.3695652173913044,0.9999936313231707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,30,0
0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.9999936313231707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,37,0
0.6000000000000001,0.625,0.0,0.0,0.375,0.0,0.26666666666666666,0.0,0.0,0.0,1.0,0.2666666666666666,0.391304347826087,0.43478260869565216,0.9999936313231707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,29,0
0.6000000000000001,0.625,0.0,0.0,0.5,0.0,0.0,0.3333333333333333,0.0,0.0,1.0,0.1999999999999997,0.6086956521739131,0.6521739130434783,0.9999936219574694,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,37,6
0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.24000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999936219574694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,24,0
0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999936219574694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,37,0
0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999936313231707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,37,0
0.6000000000000001,0.625,0.0,0.0,0.75,0.0,0.2,0.0,0.0,0.0,1.0,0.16666666666666655,0.20652173913043478,0.2608695652173913,0.9999936313231707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,37,0
0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.9999936313231707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,37,0
0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.9999936219574694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,37,0
0.0,0.625,0.0,0.5714285714285714,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,1.0,0.2,0.34782608695652173,0.391304347826087,0.9999937624429878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,37,0
0.2,0.625,0.0,0.0,0.75,0.0,0.0,0.0,0.2,0.0,1.0,0.16666666666666655,0.20652173913043478,0.2608695652173913,0.9999920391539634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,37,0
0.2,0.625,0.5,0.0,0.375,0.0,0.4,0.0,0.0,0.0,1.0,0.24999999999999997,0.5217391304347826,0.5760869565217391,0.9999920391539634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,15,0
0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999920391539634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,0
0.2,0.625,0.0,0.0,0.375,0.0,0.33333333333333337,0.0,0.0,0.0,1.0,0.2666666666666666,0.2608695652173913,0.30434782608695654,0.9999920391539634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,30,0
0.2,0.625,0.5,0.0,0.375,0.0,0.26666666666666666,0.0,0.0,0.0,1.0,0.1999999999999997,0.43478260869565216,0.4782608695652174,0.9999920391539634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,15,0
0.2,0.625,0.0,0.0,0.375,0.0,0.4,0.0,0.0,0.0,1.0,0.2666666666666666,0.4782608695652174,0.5217391304347826,0.9999920391539634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,15,0
0.2,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0.2,0.0,1.0,0.29999999999999977,0.5760869565217391,0.6086956521739131,0.9999920391539634,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,37,0
0.2,0.75,0.0,0.0,0.375,0.0,0.0,0.0,0.13333333333333333,0.0,1.0,0.19999999999999984,0.9130434782608696,0.9456521739130435,0.9999920391539634,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,37,0
0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.9999920485196646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,37,0
0.4,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,0.0,0.9130434782608696,0.9456521739130435,0.9999920485196646,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,37,0
0.4,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,1.0,0.0,0.8695652173913043,0.9130434782608696,0.9999920485196646,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,37,0
0.4,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,1.0,0.0,0.8260869565217391,0.8695652173913043,0.9999920485196646,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,37,0
0.4,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,1.0,0.0,0.782608695652174,0.8260869565217391,0.9999920485196646,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,37,0
0.4,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,1.0,0.0,0.7391304347826088,0.7608695652173914,0.9999920485196646,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,37,0
0.4,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,1.0,0.0,0.6956521739130435,0.7391304347826088,0.9999920485196646,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,37,0
0.4,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,1.0,0.0,0.6086956521739131,0.6521739130434783,0.9999920485196646,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,37,0
0.4,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,1.0,0.0,0.5760869565217391,0.6086956521739131,0.9999920485196646,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,37,0
0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999920485196646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,37,0
0.4,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.6000000000000001,0.0,1.0,0.5,0.5217391304347826,0.5760869565217391,0.9999920485196646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,37,0
0.4,0.5,0.0,0.0,0.375,0.0,0.0,0.0,0.2,0.0,1.0,0.3333333333333331,0.20652173913043478,0.2608695652173913,0.9999920485196646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,37,0
0.4,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,1.0,0.0,0.6521739130434783,0.6956521739130435,0.9999920485196646,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,37,0
0.6000000000000001,0.625,0.0,0.0,0.375,0.0,0.0,0.0,0.2,0.0,1.0,0.19999999999999984,0.5760869565217391,0.6086956521739131,0.9999920578853658,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,37,0
0.6000000000000001,0.625,0.0,0.0,0.125,0.0,0.6000000000000001,0.0,0.0,0.0,1.0,0.7999999999999987,0.6086956521739131,0.6521739130434783,0.9999920578853658,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,19,0
